source,target,weight
sharechatapp,acmrecsys,1
eva_zangerle,alansaid,3
eva_zangerle,kimfalk,2
alansaid,kimfalk,3
alansaid,christine_bauer,5
alansaid,eva_zangerle,3
marc_stampfli,acmrecsys,1
totopampin,kristen_rumley,1
kristen_rumley,acmrecsys,1
yashardel,facctrec,4
zidane197302142,nvidiaai,1
thehighway2ai,nvidiaai,1
nvidiaai,sararabhi5,1
nvidiaai,ak_ronay,1
nvidiaai,acmrecsys,1
joaoalmeidaz,acmrecsys,1
nassimso,facctrec,4
rajamifa,facctrec,22
jensjorisdc,recsyshr,4
jussikarlgren,spotifyresearch,1
benikahall,acmrecsys,1
dalgodoy,recsyshr,1
recsyshr,acmrecsys,2
binaryic,shopifydata,1
binaryic,chennerzz,1
nimitpattanasri,recsyshr,2
facctrec,acmrecsys,7
facctrec,recsyswiki,1
facctrec,mdekstrand,3
facctrec,drch0le,3
amazonscience,thanosnikolako2,1
ddoro,mounialalmas,1
shopifydata,chennerzz,2
enricopalumbo91,spotifyresearch,1
totopampin,mounialalmas,1
totopampin,spotifyresearch,1
eran_rosenberg,acmrecsys,1
aloisgr,spotifyresearch,1
anneschuth,mounialalmas,1
peterpaws,umapconf,1
drch0le,facctrec,2
recsys_c,joeranbeel,1
peterpaws,mdekstrand,1
olivierneutens,jensjorisdc,1
olivierneutens,techwolfbe,1
olivierneutens,recsyshr,1
powderhound42,acmrecsys,2
swap_research,intrsworkshop,2
swap_research,denisparra,1
robbelefebre,jensjorisdc,1
robbelefebre,techwolfbe,1
robbelefebre,recsyshr,1
papabigdrip,jensjorisdc,1
papabigdrip,techwolfbe,1
papabigdrip,recsyshr,1
severin11678957,jensjorisdc,1
severin11678957,techwolfbe,1
severin11678957,recsyshr,1
navatintarev,intrsworkshop,3
navatintarev,denisparra,1
nielslowie,jensjorisdc,1
nielslowie,techwolfbe,1
nielslowie,recsyshr,1
joeranbeel,acmrecsys,1
jensjorisdc,techwolfbe,1
jensjorisdc,acmrecsys,1
imfdchile,intrsworkshop,2
imfdchile,denisparra,1
cen_ia,intrsworkshop,2
cen_ia,denisparra,1
mcwillemsen,intrsworkshop,9
mcwillemsen,denisparra,3
denisparra,intrsworkshop,3
intrsworkshop,denisparra,4
intrsworkshop,acmrecsys,2
abellogin,mdekstrand,1
arshvinder_2000,acmrecsys,2
denisparra,mdekstrand,1
taoyeah,mdekstrand,2
dvoss15,acmrecsys,1
tbouabca,researchdeezer,2
tbouabca,acmrecsys,1
dokydeezer,acmrecsys,1
josem_arrieta,florianwilhelm,1
josem_arrieta,acmrecsys,1
infolaber,acmrecsys,1
data_hpz,florianwilhelm,1
data_hpz,acmrecsys,1
florianwilhelm,acmrecsys,1
that_recsys_lab,facctrec,1
yashardel,acmrecsys,5
chirag_shah,informor,1
faizanj,gballoccu,1
ayelmajjodi,acmrecsys,7
manelslokom,gballoccu,1
ludovicoboratto,gballoccu,1
mirkomarras,gballoccu,1
gballoccu,ludovicoboratto,1
gballoccu,mirkomarras,1
drch0le,totopampin,3
drch0le,ngrams,2
drch0le,ssahebi,2
adib0073,max_does_well,1
adib0073,acmrecsys,1
adib0073,seattleaquarium,1
adib0073,rajamifa,1
